Name,Address,Time,Close,Tel,PASELI
嶺宝スポーツセンター,福島県いわき市小名浜住吉字折返2-2, 11:00-23:00, 無し, 0246-58-8093,1
SUPER NOVA会津店,福島県会津若松市町北町上荒久田字宮下142, 9:00-24:00, 無し, 0242-37-0777,1
ラウンドワン福島店,福島県福島市太田町14-18, 10:00-24:00/土9:00-24:00/日・祝8:00-24:00, 無し, 024-525-4731,1
3RDプラネット福島店,福島県福島市栄町1-1パワーシティーピポット内, 9:00-24:00, 無し, 024-526-3536,1
SUPER NOVA福島店,福島県福島市黒岩字中島7-2, 10:00-24:00, 無し, 024-544-0280,1
アミューズパーク福島店,福島県福島市黒岩字堂の後78, 10:00-24:00, 無し, 0245-45-1261,1
ゲームスペースA-3,福島県西白河郡西郷村豊作西15-16-17, 10:00-24:00, 無し,,1
ラウンドワン郡山店,福島県郡山市向河原町4-55, 10:00-24:00, 無し, 024-941-3191,1
G3ポロス安積店,福島県郡山市安積町3-160, 10:00-23:45, 無し, 024-947-5888,1
アミューズパーク郡山店,福島県郡山市安積町日出山2-80, 店舗にてご確認ください, 無し, 0249-44-9898,1
