Name,Address,Time,Close,Tel,PASELI
サービスエリアイン入善店,富山県下新川郡入善町上野柳堀7253-2, 5:00-24:00, 無し, 0765-72-1810,1
プレイランドカケオ店,富山県富山市上袋732-2, 8:00-24:00, 無し, 076-424-7543,1
アピナ富山南店,富山県富山市堀川町355-3, 10:00-24:00, 無し, 076-461-6644,1
ハローワールド,富山県富山市新庄本町1-5-25, 8:00-24:00, 無し, 076-451-7881,1
ゲームインさんしょう富山駅前店,富山県富山市桜町1-7-5, 10:00-24:00, 無し, 076-442-0533,1
アピナ新庄店,富山県富山市荒川3-2-12, 10:00-24:00, 無し, 076-491-7700,1
アピナ富山豊田店,富山県富山市豊田町2-12-66, 10:00-24:00, 無し, 076-433-3355,1
トヤマレジャーランド呉羽店,富山県富山市高木字貝塚2054, 一部24時間営業, 無し, 076-434-5336,1
トヤマレジャーランド小杉店,富山県射水市大江1243-5, 一部24時間営業, 無し, 0766-55-4559,1
ユーズランド高岡店,富山県高岡市下伏間江383イオンモール高岡2F, 10:00-23:00, 無し, 0766-27-2411,1
サービスエリアイン高岡店,富山県高岡市石瀬下石瀬857-1, 5:00-24:00, 無し, 0766-28-1028,1
ゲームSPOT207,富山県高岡市鐘紡町1655-3, 7:00-24:00, 無し, 0766-26-2070,1
ゲームスポットアップル魚津,富山県魚津市吉島2-407-1, 9:00-24:00, 無し, 0765-24-7740,1
プレイランド黒部,富山県黒部市沓掛645, 5:00-24:00, 無し, 0765-52-5141,1
