Name,Address,Time,Close,Tel,PASELI
プレイランドカケオ店,富山県富山市上袋732-2, 8:00-24:00, 無し, 076-424-7543,1
アピナ富山南店,富山県富山市堀川町355-3, 10:00-24:00, 無し, 076-461-6644,1
アピナ富山豊田店,富山県富山市豊田町2-12-66, 10:00-24:00, 無し, 076-433-3355,1
トヤマレジャーランド呉羽店,富山県富山市高木字貝塚2054, 一部24時間営業, 無し, 076-434-5336,1
クァトロブーム小杉,富山県射水市三ケ2602,,, 0766-57-8219,1
GET GAME佐野店,富山県高岡市西藤平蔵1256-1ノースランド佐野敷地内, 10:00-24:00, 無し, 0766-63-7769,1
ゲームSPOT207,富山県高岡市鐘紡町1655-3, 7:00-24:00, 無し, 0766-26-2070,1
ゲームスポットアップル魚津,富山県魚津市吉島2-407-1, 9:00-24:00, 無し, 0765-24-7740,1
