Name,Address,Time,Close,Tel,PASELI
インターワールド伊勢崎店,群馬県伊勢崎市宮子町3425-4, 10:00-24:00, 無し, 0270-25-4338,1
群馬レジャーランド伊勢崎店,群馬県伊勢崎市連取町3066-1, 一部24時間営業, 無し, 0270-40-5330,1
ラウンドワン前橋店,群馬県前橋市天川大島町1101-1, 10:00-24:00/土9:00-24:00/日・祝8:00-24:00, 無し, 027-287-1501,1
アピナ太田店,群馬県太田市内ヶ島町907-1, 10:00-24:00, 無し, 0276-48-1489,1
群馬レジャーランド太田店,群馬県太田市西矢島町162-2, 一部24時間営業, 無し, 0276-47-8030,1
群馬レジャーランド藤岡店,群馬県藤岡市中2002-1, 一部24時間営業,, 0274-40-2371,1
3RDプラネット高崎店,群馬県高崎市下和田町5-3-8メディアメガ高崎内, 9:00-24:00, 無し, 027-310-6611,1
ユーズランド高崎店,群馬県高崎市棟高町1400-イオン高崎SC2F, 10:00-23:00,, 027-310-9113,1
群馬レジャーランド高崎駅東口店,群馬県高崎市江木町333-1高崎EXビル2F, 一部24時間営業, 無し, 027-330-3002,1
