Name,Address,Time,Close,Tel,PASELI
京都寺町 a-cho,京都府京都市中京区寺町通四条上ル東大文字町302 2F･3F, 9:00-24:00, 無し, 075-251-2323,1
ゲームパニック京都,京都府京都市中京区新京極通三条下る桜之町415 京都松竹座ビル, 10:00-24:00, 無し, 072-256-8290,1
ラウンドワン河原町店,京都府京都市中京区河原町通り三条下ル山崎町250, 10:00-24:00/土10:00-24:00/日・祝9:00-24:00, 無し, 075-213-8400,1
3RDプラネットBiVi京都二条店,京都府京都市中京区西ノ京栂尾町107, 9:00-24:00, 無し, 075-813-2150,1
ラウンドワン京都伏見店,京都府京都市伏見区下鳥羽平塚町131, 10:00-24:00/土9:00-24:00/日・祝8:00-24:00, 無し, 075-622-9911,1
Ciel.net西院店,京都府京都市右京区西院久保田町6-5,,, 075-323-0881,1
八木商店,京都府京都市左京区田中里の前町22, 10:00-24:00, 無し, 075-781-8933,1
アミューズメントスクエアモナコ,京都府宇治市大久保町旦椋122, 11:00-翌3:00, 無し, 0774-44-8378,1
あそVIVAゲームセンター,京都府福知山市字堀小字下高田2146-1あそVIVA1F, 9:00-24:00, 無し, 0773-25-5055,1
