Name,Address,Time,Close,Tel,PASELI
トライセン中津店,大分県中津市下池永67-3, 10:00-24:00, 無し, 0979-85-0688,1
フェスタコスモタウン佐伯店,大分県佐伯市鶴岡西町2-163コスモタウン佐伯内,,, 0972-22-3660,1
遊えん知 アミュスポ,大分県別府市新港町1-33, 一部24時間営業, 無し, 0977-26-3335,1
ギガ 津留店,大分県大分市中津留1-1-18, 10:00-24:00, 無し, 0975-53-0800,1
ジャブロー,大分県大分市大字下徳丸西上鶴83-1, 一部24時間営業, 無し, 097-522-1011,1
フリッパーズ倶楽部,大分県大分市大字片島字上川原148-1, 11:00-24:00, 無し, 097-569-8868,1
FESTAフリーモールわさだ店,大分県大分市木上字鉾手2102, 店舗にてご確認ください, 無し, 097-542-1883,1
ラウンドワン大分店,大分県大分市萩原2-13-17, 10:00-24:00, 無し, 097-573-2800,1
トライセン萩原店,大分県大分市萩原4-227-1ACS内3F, 24時間, 無し, 097-556-2188,1
G-pala 日田,大分県日田市大字友田字萩鶴997-1, 10:00-24:00, 無し, 0973-25-5262,1
