Name,Address,Time,Close,Tel,PASELI
BINGO一関店,岩手県一関市山目字中野92-1, 10:00-24:00, 無し, 0191-25-6899,1
らんらんらんどパロ久慈,岩手県久慈市長内町第30地割32-2久慈ショッピングセンター1F, 10:00-24:00, 不定休, 0194-61-3280,0
グレア,岩手県北上市藤沢20-35, 一部24時間営業, 無し, 0197-61-3707,1
G3ポロスロックタウン北上店,岩手県北上市里分4地割20-1, 9:00-24:00, 無し, 0197-65-7888,1
サンキング,岩手県奥州市水沢区横町2-1メイプル4F, 10:00-24:00, 無し, 0197-55-7900,1
テクノワールド,岩手県奥州市江刺区愛宕字梁川127-1, 店舗にてご確認ください, 無し, 0197-47-3619,1
アミューズメントバギバギ,岩手県宮古市新川町3-17, 10:00-24:00, 無し, 0193-64-6244,1
Game's-11,岩手県岩手郡滝沢村滝沢字巣子123-1, 10:00-24:00, 無し, 019-643-7701,1
ヴィクト盛岡,岩手県盛岡市大通2-6-11, 10:00-翌1:00, 無し, 019-681-4800,1
サンシャイン,岩手県盛岡市大通2-7-21, 10:00-24:00, 無し, 019-622-9516,1
みらい夢 津志田店,岩手県盛岡市津志田南3-15-45, 一部24時間営業, 無し, 019-632-6700,1
ラウンドワン盛岡店,岩手県盛岡市盛岡駅西通2-10-35, 10:00-24:00/土9:00-24:00/日・祝8:00-24:00, 無し, 019-654-9011,1
みらい夢 青山店,岩手県盛岡市青山3-4-25, 一部24時間, 無し, 019-646-5566,1
ファミリーゲームフィールド花巻店,岩手県花巻市高木第16地割68-6銀河モール1F,,, 0198-21-1030,1
