Name,Address,Time,Close,Tel,PASELI
大丸パークレーンズ,山梨県中央市下河東3053-1外部専門棟3,,, 055-273-4100,0
楽市楽座イオンモール甲府店,山梨県中巨摩郡昭和町飯喰1-12イオンモール甲府店2F, 10:00-24:00, 無し, 055-269-5211,0
らんらんらんど南アルプス,山梨県南アルプス市小笠原1423トライアル内, 10:00-21:00, 不定休, 055-280-8266,0
プレイタウンパル富士急ハイランド駅前店,山梨県南都留郡富士河口湖町船津6663-11, 10:00-24:00, 無し, 055-573-8133,1
プレイタウンパル富士吉田店,山梨県富士吉田市新西原4-1545-1, 10:00-24:00, 無し, 055-522-8668,1
プレイタウンパルアベニュー甲府店,山梨県甲府市中央1-3-7, 10:00-24:00, 無し, 055-255-2511,1
スタジオプリモ甲府店,山梨県甲府市丸の内1-16-20ココリ2F,,,,1
ゲームパニック甲府,山梨県甲府市国母5-20-24,,, 055-231-0829,1
ラウンドワン山梨石和店,山梨県笛吹市石和町広瀬737-1, 10:00-24:00, 無し, 055-261-9501,1
