Name,Address,Time,Close,Tel,PASELI
BINGO一関店,岩手県一関市山目字中野92-1, 10:00-24:00, 無し, 0191-25-6899,1
TSUTAYA久慈店(コボク),岩手県久慈市川崎町11-22,,, 0194-53-6322,1
らんらんらんどパロ久慈,岩手県久慈市長内町第30地割32-2久慈ショッピングセンター1F, 10:00-24:00, 不定休, 0194-61-3280,0
ニコアプレイランド,岩手県二戸市米沢字荒谷25,,, 0195-25-5000,1
北上ヤングボウル,岩手県北上市柳原町2-3-3, 10:00-翌3:00, 無し, 0197-65-1231,1
G3ポロスロックタウン北上店,岩手県北上市里分4地割20-1, 9:00-24:00, 無し, 0197-65-7888,1
サンキング,岩手県奥州市水沢区横町2-1メイプル4F, 10:00-24:00, 無し, 0197-55-7900,1
テクノワールド,岩手県奥州市江刺区愛宕字梁川127-1, 店舗にてご確認ください, 無し, 0197-47-3619,1
アミューズメントバギバギ,岩手県宮古市新川町3-17, 10:00-24:00, 無し, 0193-64-6244,1
サンシャイン,岩手県盛岡市大通2-7-21, 10:00-24:00, 無し, 019-622-9516,1
ソユーゲームフィールド盛岡南店,岩手県盛岡市本宮7-1-1イオンモール盛岡南1F, 施設の営業時間に準じる, 施設の営業日に準じる, 019-908-2013,1
みらい夢 津志田店,岩手県盛岡市津志田南3-15-45, 一部24時間営業, 無し, 019-632-6700,1
ラウンドワン盛岡店,岩手県盛岡市盛岡駅西通2-10-35, 10:00-24:00/土9:00-24:00/日・祝8:00-24:00, 無し, 019-654-9011,1
みらい夢 青山店,岩手県盛岡市青山3-4-25, 一部24時間, 無し, 019-646-5566,1
アミューズメントパークアルコ,岩手県紫波郡矢巾町南矢幅第7地割425-3, 10:00-21:00, 無し, 019-697-9330,1
ファミリーゲームフィールド花巻店,岩手県花巻市高木第16地割68-6銀河モール1F,,, 0198-21-1030,1
ソユーゲームフィールド釜石店,岩手県釜石市港町2-1-1イオンタウン釜石店3F,,, 0193-22-2226,1
