Name,Address,Time,Close,Tel,PASELI
モーリーファンタジー三好,愛知県みよし市三好町青木91イオン2F,,, 0561-33-2660,0
アドアーズ一宮,愛知県一宮市大和町馬引三味北1, 9:00-24:00, 無し, 0586-47-6631,1
タイガー一宮店,愛知県一宮市富士3-1-33,,, 0586-71-3921,1
ゲームゾーン,愛知県一宮市羽衣2-5-1,,, 0586-52-3600,1
ラウンドワン刈谷境川店,愛知県刈谷市今川町阿野前20-1享楽ASKビル3F, 10:00-翌5:00/土9:00-翌5:00/日・祝8:00-翌5:00, 無し, 0566-26-6811,1
ゲームコーナーシルクロード,愛知県刈谷市南桜町2-56-1アピタ刈谷店3F,,, 0566-22-2121,0
M'sPARK刈谷店,愛知県刈谷市稲場町3-206, 10:00-24:00, 無し, 0566-27-5822,1
K'Sスポット,愛知県刈谷市稲場町5-611, 一部24時間営業, 無休, 0566-24-1149,1
楽市楽座022名古屋店1階,愛知県北名古屋市中之郷字神明45-145-1 楽市街道名古屋店内, 10:00-24:00, 無し, 0568-27-2622,0
ラウンドワン名古屋西春店,愛知県北名古屋市宇福寺神明15, 10:00-翌6:00/土9:00-翌6:00/日・祝8:00-翌6:00, 無し, 0568-26-4001,1
a JACK 半田店,愛知県半田市州の崎町2-188,,, 0569-29-3388,1
半田メトロポリス2F,愛知県半田市旭町3-11-1半田コロナワールド内2F, 平日10:00-24:00、土日祝日前9:00-24:00、日・祝日8:00-24:00, 無し, 0569-24-5226,1
ラウンドワン半田店,愛知県半田市瑞穂町6-7-8, 10:00-24:00/土9:00-24:00/日・祝8:00-24:00, 無し, 0569-25-7351,1
アーバンスクエア大須店,愛知県名古屋市中区大須3-30-31萬松寺駐車場ビル1F 2F, 10:00-24:00, 無し, 052-242-2011,1
Candy名古屋,愛知県名古屋市中区新栄2-45-26, 10:00-24:00, 無し, 052-261-6381,1
アミューズメントメガスペースキングジョイ,愛知県名古屋市中区栄3-3-32, 9:00-24:00, 無し, 052-241-9515,1
サーカスサーカス,愛知県名古屋市中区栄4-3-4, 09:00-24:00, 無し, 052-241-8317,1
コムテックスクエアー,愛知県名古屋市中区金山1-16-8, 10:00-24:00,, 052-321-5601,1
コスタデルソル,愛知県名古屋市中区錦3-17-26, 10:00-24:00, 無し, 052-962-8686,1
ラウンドワン名駅南店,愛知県名古屋市中川区松重町4-35Taiho名駅南ビル, 10:00-24:00/土9:00-24:00/日・祝8:00-24:00, 無し, 052-350-4511,1
中川メトロポリス,愛知県名古屋市中川区江松3-110, 平日10:00-24:00、土日祝日9:00-24:00, 無し, 052-303-9701,1
ラウンドワン中川･1号線店,愛知県名古屋市中川区法蔵町2-23, 10:00-24:00/土9:00-24:00/日・祝8:00-24:00, 無し, 052-665-5353,1
コムテックタワー,愛知県名古屋市中村区名駅4-10-20, 10:00-24:00,, 052-565-6471,1
名古屋レジャーランドささしま店,愛知県名古屋市中村区平池町4-60-14マーケットスクエアささしま1F, 10:00-24:00, 無し, 052-589-6561,1
サーカスサーカス中丸町店,愛知県名古屋市北区中丸町2-23, 10:00-24:00,, 052-914-1960,1
ファンタジープラザ名古屋店,愛知県名古屋市北区玄馬町234-1クロスタウン2F, 10:00-翌5:00, 無し, 052-938-3461,1
GREA,愛知県名古屋市千種区今池5-22-2,,, 052-731-2653,1
ラウンドワン千種店,愛知県名古屋市千種区新栄3-20-17タイホウ千種駅前南ビル8F, 9:00-翌0:00/土・日・祝9:00-24:00, 無し, 052-238-1615,1
名古屋レジャーランド内田橋店,愛知県名古屋市南区内田橋2-26-22, 一部24時間営業, 無し, 052-694-6051,1
モーリーファンタジーF･新瑞橋,愛知県名古屋市南区菊住1-7-10モーリーファンタジー3F,,, 052-824-5221,1
ポート24一社店,愛知県名古屋市名東区高社1-260, 09:00-24:00, 無休, 052-771-2311,1
ディノスパーク守山,愛知県名古屋市守山区西島町110コンコルド2F, 10:00-24:00, 無し, 052-758-4750,1
ポート24八事店,愛知県名古屋市昭和区広路町字北石坂102-4, 09:00-24:00, 無休, 052-834-9200,1
楽市楽座イオンモール名古屋茶屋店,愛知県名古屋市港区西茶屋2-11イオンモール名古屋茶屋店3F,,, 052-398-6274,0
名古屋レジャーランド大高店,愛知県名古屋市緑区大高町字忠治山12-1名古屋グランドホウル内B2F, 一部24時間営業, 無し, 052-625-5360,1
ラウンドワン鳴海店,愛知県名古屋市緑区鳴海町字杜若28, 10:00-24:00/土・日・祝9:00-24:00, 無し, 052-899-0700,1
Uファクトリー安城店,愛知県安城市住吉町5-13-37, 9:00-24:00, 無し, 0566-96-0700,1
夢希望,愛知県安城市尾崎町追池52-9, 一部24時間営業, 無休, 0566-98-8879,1
ハローズガーデン安城南,愛知県安城市桜井町貝戸尻60アピタ安城南店2F,,, 0566-99-4986,1
安城メトロポリス,愛知県安城市浜富町6-8, 平日10:00-24:00、土日祝日9:00-24:00, 無し, 0566-74-8238,1
スタジアム小牧 桃花台店,愛知県小牧市古雅1-1ピアーレ2F ゲームコーナー,,, 0568-78-1231,1
M'sパーク小牧,愛知県小牧市大字村中字稲荷783, 9:00-24:00, 無し, 0568-77-8752,1
小牧メトロポリス,愛知県小牧市間々片山181, 平日10:00-24:00、土日祝日9:00-24:00, 無し, 0568-71-0005,1
タカラ島 尾張旭店,愛知県尾張旭市北本地ヶ原町4-29, 10:00-24:00, 無し, 0561-51-0511,1
M'Sパーク三郷店 西館,愛知県尾張旭市南原山町赤土207, 10:00-24:00, 無し, 0561-55-5103,1
M'Sパーク三郷店,愛知県尾張旭市南原山町赤土230, 10:00-24:00, 無し, 0561-52-4646,1
ADXマミー岡崎店,愛知県岡崎市井田新町6-1, 10:00-24:00, 無し, 0564-83-6262,1
アミューズメントスクエア201,愛知県岡崎市岩津町字川畔119-6, 9:00-24:00, 無し, 0564-45-8201,1
岡崎グランドボウル,愛知県岡崎市日名北町1-1,,, 0564-22-5522,1
スペース201,愛知県岡崎市欠町字野添39, 10:00-24:00,, 0564-24-6451,1
ステーション201,愛知県岡崎市美合町一ノ久保1-64サンリバー1F, 10:00-24:00,, 0564-54-7201,1
ゲームファンタジアン岡崎店,愛知県岡崎市錦町2-4, 10:00-翌5:00, 無し, 0564-66-0505,1
ゲームファンタジアン長久手店,愛知県愛知郡長久手町武蔵塚705, 9:00-24:00, 無し, 0561-64-5205,1
コムテックプラザ赤池,愛知県日進市赤池1-2901, 10:00-翌3:00,, 052-807-2666,1
ADXマミー春日井出川店,愛知県春日井市不二が丘1-5,,, 0568-54-8590,1
オークランドボウル,愛知県春日井市鳥居松町3-11,,, 0568-81-8191,1
プラネット,愛知県東海市荒尾町山王前20アピタ荒尾店2F ゲームコーナー,,, 052-601-9777,0
ハローズガーデン江南西店,愛知県江南市松竹町上野205ヴィアモ-ル江南西店2Fワンダーフォレスト, 10:00-21:30, 無し, 0587-51-6286,1
アッシュ津島,愛知県津島市大字津島字北新開351ヨシヅヤ津島シネコン館2F,,, 0567-22-0377,1
バッティングセンター甲子園,愛知県津島市寺野町字五反田43,,, 0567-24-1300,1
カレッジゼロ津島店,愛知県津島市蛭間町桝田306-2, 10:00-24:00, 無し, 0567-22-3105,1
