Name,Address,Time,Close,Tel,PASELI
ボヤージュ,神奈川県厚木市下依知333-4, 10:00-24:00, 無し, 0462-46-4811,1
ファンファン本厚木店,神奈川県厚木市中町2-1-6, 9:00-24:00, 無し, 0462-94-0166,1
シルクハット本厚木店,神奈川県厚木市中町2-4-13本厚木駅前ビル, 9:00-24:00, 無し, 0462-97-0261,1
イミグランデ本厚木店,神奈川県厚木市中町3-2-1, 10:00-24:00, 無し, 0462-24-9933,1
神奈川レジャーランド厚木店,神奈川県厚木市戸室5-31-1, 一部24時間営業, 無し, 046-297-0503,1
神奈川レジャーランド大和店,神奈川県大和市下鶴間2-1-13, 店舗にてご確認ください,, 046-244-0445,1
アミューズメントベネクス大和店,神奈川県大和市下鶴間2752-2, 9:00-24:00, 無し, 046-200-2030,1
アドアーズ大和,神奈川県大和市大和東1-4-3大黒屋ビル1-2F､事4F, 10:00-24:00, 無し, 0462-60-0861,1
イミグランデ大和店,神奈川県大和市鶴間2-12-27, 10:00-24:00, 無し, 046-277-8571,1
ジョイランド中原店,神奈川県川崎市中原区上小田中6-19-6, 10:00-24:00, 無し, 044-799-1941,1
ゲームミツワ,神奈川県川崎市多摩区登戸3418, 11:00-24:00, 無し, 044-911-1168,1
ウェアハウス川崎店,神奈川県川崎市川崎区日進町3-7, 9:00-24:00, 無し, 044-246-2360,1
ラウンドワン川崎大師店,神奈川県川崎市川崎区殿町1-5-1, 10:00-24:00/土9:00-24:00/日・祝8:00-24:00, 無し, 044-270-1541,1
アミューズメントベネクス川崎店,神奈川県川崎市川崎区鋼管通4-8-3, 9:00-24:00(日祝8:00-24:00), 無し, 044-329-1401,1
AMピア川崎モアーズ店,神奈川県川崎市川崎区駅前本町7岡田屋モアーズ内, 8:30-翌1:00, 無し, 044-200-0285,1
シルクハット川崎ダイス,神奈川県川崎市川崎区駅前本町8ダイスビルB2, 9:00-24:45, 無し, 044-223-3530,1
マットマウス鹿島田･新川崎店,神奈川県川崎市幸区下平間111-4川粧第2ビル2･3F, 平日14:00-24:00 土日12:00-24:00, 無し, 044-589-3855,1
ラウンドワン高津店,神奈川県川崎市高津区二子4-8-1, 10:00-24:00/土9:00-24:00/日・祝8:00-24:00, 無し, 044-813-3711,1
アミューズメントベネクス平塚店,神奈川県平塚市四之宮6-10-27, 10:00-24:00(日祝9:00-24:00), 無し, 0463-54-6181,1
ゲームファンタジア平塚,神奈川県平塚市紅谷町14-21Tマリン湘南1-3F, 10:00-24:00, 無し, 0463-24-7021,1
ネバーランド2,神奈川県座間市ひばりが丘4-11-48, 10:00-24:00, 無し, 046-266-4811,1
サントロペ伊勢佐木町店,神奈川県横浜市中区伊勢佐木町3-96日活会館ビル, 8:30-翌1:00, 無し, 045-232-2006,1
AMFマーズ,神奈川県横浜市中区長者町6-106, 8:30-翌1:00, 無し, 045-243-6033,1
キャメル東戸塚店,神奈川県横浜市戸塚区品濃町548-1, 11:00-24:00, 無し, 045-823-9997,1
ラウンドワン戸塚店,神奈川県横浜市戸塚区影取町1759-5, 10:00-24:00/土9:00-24:00/日・祝8:00-24:00, 無し, 045-858-1201,1
パラダイスシティ,神奈川県横浜市旭区二俣川1-43-28長崎屋二俣川店5F, 10:00-21:00, 無し, 045-367-1940,1
ジアス新横浜店,神奈川県横浜市港北区新横浜2-1-19第17キタミビル2･3F, 10:00-24:00, 無し, 045-476-2710,1
イミグランデ日吉店,神奈川県横浜市港北区日吉2-2-4日吉ビル, 10:00-24:00, 無し, 045-624-8633,1
ラウンドワン綱島店,神奈川県横浜市港北区樽町2-6-40, 10:00-24:00/土・日・祝9:00-24:00, 無し, 045-533-6151,1
ジアス上大岡店,神奈川県横浜市港南区上大岡西2-1-28赤い風船ビル1F, 10:00-24:00, 無し, 045-847-4780,1
イミグランデ上永谷店,神奈川県横浜市港南区丸山台1-11-1上永谷ビル1F･2F, 10:00-24:00, 無し, 045-370-9724,1
フロンティア三ツ境,神奈川県横浜市瀬谷区三ツ境6-1, 10:00-24:00, 無し, 045-365-1103,1
ドリームス,神奈川県横浜市緑区鴨居3-1-9スマーイビル1F, 10:00-24:00, 無し, 045-929-2911,1
ゲームスペースジャンボ,神奈川県横浜市西区南幸1-10-5, 11:00-23:30, 無し, 045-314-7899,1
フリーダム,神奈川県横浜市西区南幸1-5-30, 10:00-24:00, 無休, 045-319-2721,1
ラウンドワン横浜駅西口店,神奈川県横浜市西区南幸2-8-16, 10:00-24:00/土9:00-24:00/日・祝8:00-24:00, 無し, 045-412-0880,1
3RDプラネット港北店,神奈川県横浜市都筑区中川中央1-25ノースポートモール6F, 9:00-24:00, 無し, 045-914-7386,1
ネバーランド,神奈川県横浜市都筑区中川中央1-36-16, 10:00-24:00, 無し, 045-912-6111,1
ゲームコスモ,神奈川県横浜市金沢区谷津町344, 10:00-24:00, 無し, 045-788-4171,1
ゲームファンタジア青葉台,神奈川県横浜市青葉区青葉台2-9-141-3F､事4F, 10:00-23:45, 無し, 045-984-5231,1
ゲームコスモ鶴見店,神奈川県横浜市鶴見区豊岡町17-4, 10:00-24:00, 無し, 045-585-0030,1
