Name,Address,Time,Close,Tel,PASELI
エースレーン堅田,滋賀県大津市今堅田2-40-10ACT堅田ビル2F, 10:00-24:00 一部翌2:00まで, 無し, 077-571-1226,1
ラウンドワン浜大津アーカス店,滋賀県大津市浜町2-1浜大津アーカス4F,, 無し, 077-526-8722,1
スーパーヒーロー堅田,滋賀県大津市真野2-31-30, 10:00-24:00, 無し, 077-571-1250,1
ゲームディーノ彦根店,滋賀県彦根市西沼波町166, 10:00-24:00, 無し, 0749-21-0073,1
エースレーン愛知川,滋賀県愛知郡愛荘町長野200, 10:00-24:00, 無し, 0749-42-8610,1
KCAT草津店,滋賀県草津市木川町311-1,,, 077-569-5386,1
エースレーン草津,滋賀県草津市野路3-1-11, 9:00-24:00, 無し, 077-569-0472,1
エースレーン近江八幡,滋賀県近江八幡市出町736,,, 0748-31-2468,1
アクション長浜,滋賀県長浜市川崎町八王子375, 9:00-24:00, 無し, 0749-64-5122,1
