Name,Address,Time,Close,Tel,PASELI
タカラ島 亀岡店,京都府亀岡市篠町野条上又11-1アルプラザ亀岡店3F, 10:00-22:00, 無し, 0771-25-9886,1
プレイランドキング七条店,京都府京都市下京区七条通烏丸西入東境町187番地, 8:00-24:00, 無し, 075-352-3788,1
京都寺町 a-cho,京都府京都市中京区寺町通四条上ル東大文字町302 2F･3F, 9:00-24:00, 無し, 075-251-2323,1
ゲームパニック京都,京都府京都市中京区新京極通三条下る桜之町415 京都松竹座ビル, 10:00-24:00, 無し, 072-256-8290,1
ラウンドワン河原町店,京都府京都市中京区河原町通り三条下ル山崎町250, 10:00-24:00/土10:00-24:00/日・祝9:00-24:00, 無し, 075-213-8400,1
プレイランドキング 円町店,京都府京都市中京区西ノ京円町40, 9:00-24:00, 無し, 075-462-9316,1
3RDプラネットBiVi京都二条店,京都府京都市中京区西ノ京栂尾町107, 9:00-24:00, 無し, 075-813-2150,1
ラウンドワン京都伏見店,京都府京都市伏見区下鳥羽平塚町131, 10:00-24:00/土9:00-24:00/日・祝8:00-24:00, 無し, 075-622-9911,1
Ciel.net西院店,京都府京都市右京区西院久保田町6-5,,, 075-323-0881,1
八木商店,京都府京都市左京区田中里の前町22, 10:00-24:00, 無し, 075-781-8933,1
KCAT京八幡店,京都府八幡市美濃山ヒル塚31-1, 10:00-24:00, 無し, 075-972-1313,1
アミパラ京都南店,京都府向日市森本町佃15-7うきわくシティ2F,,, 075-925-3330,1
あそVIVAゲームセンター,京都府福知山市字堀小字下高田2146-1あそVIVA1F, 9:00-24:00, 無し, 0773-25-5055,1
